iter	Passed	Remaining
0	5	2946
1	11	2802
2	17	2823
3	21	2704
4	27	2677
5	32	2667
6	38	2677
7	43	2647
8	47	2590
9	52	2592
10	56	2495
11	61	2493
12	67	2530
13	73	2538
14	77	2495
15	82	2492
16	87	2499
17	92	2486
18	97	2475
19	106	2552
20	110	2524
21	116	2535
22	122	2546
23	128	2556
24	135	2565
25	141	2576
26	146	2569
27	151	2554
28	158	2566
29	164	2582
30	170	2576
31	175	2569
32	183	2599
33	190	2613
34	197	2625
35	205	2650
36	212	2654
37	219	2670
38	226	2675
39	233	2686
40	240	2694
41	246	2691
42	253	2693
43	260	2698
44	266	2693
45	274	2705
46	281	2712
47	288	2713
48	295	2720
49	302	2723
50	307	2711
51	313	2699
52	318	2687
53	324	2683
54	331	2686
55	337	2675
56	342	2662
57	350	2667
58	355	2654
59	360	2646
60	366	2639
61	373	2638
62	380	2637
63	387	2639
64	393	2636
65	400	2631
66	406	2629
67	413	2627
68	420	2626
69	426	2620
70	433	2621
71	441	2624
72	446	2610
73	452	2603
74	457	2591
75	463	2584
76	468	2575
77	473	2564
78	479	2554
79	484	2545
80	493	2551
81	500	2552
82	508	2552
83	513	2542
84	520	2539
85	525	2530
86	531	2521
87	540	2528
88	546	2523
89	551	2514
90	558	2510
91	565	2507
92	571	2501
93	578	2498
94	586	2500
95	593	2498
96	600	2493
97	605	2484
98	612	2480
99	617	2471
100	625	2469
101	631	2465
102	637	2456
103	642	2446
104	646	2433
105	652	2425
106	658	2418
107	665	2416
108	672	2411
109	676	2399
110	680	2384
111	688	2383
112	696	2383
113	702	2378
114	708	2372
115	715	2368
116	722	2365
117	730	2363
118	734	2352
119	740	2345
120	745	2335
121	753	2335
122	760	2332
123	767	2327
124	775	2325
125	783	2325
126	789	2320
127	796	2315
128	802	2308
129	811	2308
130	819	2308
131	826	2304
132	834	2303
133	842	2299
134	849	2296
135	855	2290
136	861	2283
137	868	2277
138	875	2273
139	883	2272
140	891	2270
141	899	2267
142	906	2263
143	914	2261
144	922	2258
145	928	2250
146	933	2242
147	942	2241
148	950	2239
149	958	2235
150	964	2229
151	973	2229
152	980	2223
153	987	2219
154	993	2211
155	998	2201
156	1006	2198
157	1013	2194
158	1020	2189
159	1029	2186
160	1036	2182
161	1046	2182
162	1053	2177
163	1060	2171
164	1065	2164
165	1073	2159
166	1080	2155
167	1088	2150
168	1095	2145
169	1102	2139
170	1108	2132
171	1114	2125
172	1122	2120
173	1129	2115
174	1136	2110
175	1142	2103
176	1149	2098
177	1157	2094
178	1164	2088
179	1171	2082
180	1178	2077
181	1185	2071
182	1192	2066
183	1200	2061
184	1207	2055
185	1212	2046
186	1216	2036
187	1219	2024
188	1223	2013
189	1227	2002
190	1231	1991
191	1234	1980
192	1238	1969
193	1241	1958
194	1245	1948
195	1249	1937
196	1253	1928
197	1257	1917
198	1261	1907
199	1265	1897
200	1268	1887
201	1272	1877
202	1276	1867
203	1279	1856
204	1283	1846
205	1286	1836
206	1290	1826
207	1293	1816
208	1297	1806
209	1301	1796
210	1304	1786
211	1308	1777
212	1311	1767
213	1315	1757
214	1319	1749
215	1324	1740
216	1327	1731
217	1332	1723
218	1336	1715
219	1340	1706
220	1344	1697
221	1349	1689
222	1354	1681
223	1359	1674
224	1364	1667
225	1369	1660
226	1375	1653
227	1379	1646
228	1386	1640
229	1392	1634
230	1398	1627
231	1401	1619
232	1405	1610
233	1409	1602
234	1413	1593
235	1416	1584
236	1419	1575
237	1424	1567
238	1428	1560
239	1433	1552
240	1438	1546
241	1443	1538
242	1448	1532
243	1453	1525
244	1459	1519
245	1463	1510
246	1467	1503
247	1472	1496
248	1476	1487
249	1478	1478
250	1481	1470
251	1485	1461
252	1488	1452
253	1491	1444
254	1494	1436
255	1498	1427
256	1501	1420
257	1505	1412
258	1509	1404
259	1512	1396
260	1516	1388
261	1520	1381
262	1523	1372
263	1527	1365
264	1531	1358
265	1534	1350
266	1540	1344
267	1544	1336
268	1549	1330
269	1553	1323
270	1557	1316
271	1561	1309
272	1564	1301
273	1568	1293
274	1571	1285
275	1574	1278
276	1578	1270
277	1582	1263
278	1587	1257
279	1590	1249
280	1593	1241
281	1597	1235
282	1600	1227
283	1604	1220
284	1608	1213
285	1611	1206
286	1614	1198
287	1617	1190
288	1622	1184
289	1626	1177
290	1630	1171
291	1634	1164
292	1638	1157
293	1641	1150
294	1647	1145
295	1652	1138
296	1655	1131
297	1659	1124
298	1662	1117
299	1666	1111
300	1670	1104
301	1673	1097
302	1677	1090
303	1680	1083
304	1684	1076
305	1687	1070
306	1692	1063
307	1695	1056
308	1700	1051
309	1704	1044
310	1710	1039
311	1712	1032
312	1716	1025
313	1721	1019
314	1727	1014
315	1732	1008
316	1736	1002
317	1741	996
318	1745	990
319	1751	985
320	1754	978
321	1759	972
322	1762	965
323	1766	959
324	1769	952
325	1772	946
326	1776	939
327	1779	933
328	1783	927
329	1788	921
330	1791	914
331	1794	907
332	1796	900
333	1800	894
334	1803	888
335	1805	881
336	1807	874
337	1809	867
338	1812	860
339	1814	854
340	1816	846
341	1818	840
342	1821	833
343	1824	827
344	1826	820
345	1828	814
346	1831	807
347	1834	801
348	1835	794
349	1838	787
350	1840	781
351	1842	774
352	1846	768
353	1849	762
354	1852	756
355	1854	750
356	1857	744
357	1860	737
358	1862	731
359	1865	725
360	1866	718
361	1869	712
362	1871	706
363	1873	700
364	1876	693
365	1878	687
366	1880	681
367	1882	675
368	1884	669
369	1887	663
370	1889	657
371	1892	651
372	1894	645
373	1896	638
374	1898	632
375	1899	626
376	1901	620
377	1904	614
378	1905	608
379	1907	602
380	1909	596
