,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,SALES_OFFICE_DESCRIPTION,DISTRIBUTION_MODE_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,DEVICE_CATEGORY,DEVICE_MOBILE_BRAND_NAME,DEVICE_OPERATING_SYSTEM,ORDER_QUANTITY,ORDER_TYPE,PLANT_ID,WINDOW_FREQUENCY,SHIPPING_CONDITION_TIME,total_adds,total_removes,has_order,is_abandoned,total_profit,total_volume,PACK_TYPE_DESC,TRADE_MARK_DESC,FLAVOUR_DESC,BEV_CAT_DESC,PACK_SIZE_OZ
0,501131240,2025-02-07 16:30:00,2025-02-14 16:30:00,,,,,,,,3.0,SALES REP,G261,7,48hrs,0.0,0.0,1,0,4338.379999999995,516.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
1,501347480,2025-02-19 14:00:00,2025-03-19 14:00:00,,,,,,,,,,G238,28,24hrs,0.0,0.0,0,0,60.519999999999996,6.0,Aluminum Can,Lucy & Co.,Strawberry Tart,CORE SPARKLING,12.0
2,501776493,2025-05-16 14:00:00,2025-05-30 14:00:00,,,,,,,,,,G222,14,24hrs,0.0,0.0,0,0,379.52,24.0,Glass Bottle  - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,0.0
3,501776561,2025-01-15 10:30:00,2025-01-22 10:30:00,,,,,,,,,,G185,7,24hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
4,501141721,2025-02-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,G291,28,24hrs,0.0,0.0,0,0,35.33,3.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
5,501760964,2025-03-05 16:00:00,2025-03-12 16:00:00,,,,,,,,,,G294,7,24hrs,0.0,0.0,0,0,133.6,7.0,Plastic Bottle - Other,Pete's Popcorn,Vanilla Raspberry,CORE SPARKLING,0.0
6,501372202,2024-11-25 10:00:00,2024-12-02 10:00:00,,,,,,,,,,G121,7,24hrs,0.0,0.0,0,0,1101.2699999999998,40.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
7,500769523,2025-01-28 13:30:00,2025-02-25 13:30:00,"Albuquerque, NM",Rapid Delivery,Hotel,Motel,desktop,Google,Windows,3.0,SALES REP,G267,28,24hrs,334.0,167.0,1,0,2324.6900000000005,192.0,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,SPORTS DRINKS,20.0
8,600565386,2025-02-03 15:30:00,2025-03-03 15:30:00,"Wilsonville, OR",OFS,Store,Hardware Store,desktop,Microsoft,Windows,4.0,MYCOKE360,G221,28,24hrs,3339.0,0.0,1,0,897.4000000000001,44.0,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0
9,500510314,2024-07-01 11:00:00,2024-07-15 11:00:00,,,,,,,,10.0,SALES REP,G143,14,24hrs,0.0,0.0,1,0,16437.69999999998,1522.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
