,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,has_order,window_adds,window_removes,window_purchases,shipping_time,window_total_profit,window_total_volume,window_num_unique_materials,total_order_quantity,sales_office_desc,mode_distribution_mode,mode_cold_drink_channel,mode_sub_trade_channel,mode_most_frequent_event,mode_device_category,mode_device_brand,mode_device_os,mode_pack_type,mode_trade_mark,mode_flavour,mode_bev_cat,mode_pack_size_oz,scheduled_frequency
0,501382445,2025-04-23 16:30:00,2025-05-07 16:30:00,1,0,0,0,48hrs,15063.390000000009,1260.0,22,936.0,"Flagstaff, AZ",OFS,Distributor,Food Distributor,nav_link_click,desktop,Microsoft,Windows,Bag-In-Box,Fizz Factory,Vanilla Latte,CORE SPARKLING,320.0,14
1,501809570,2025-04-25 15:30:00,2025-05-23 15:30:00,0,2016,1008,0,48hrs,0.0,0.0,1,,"Wenatchee, WA",Sideload,Store,Retail Service,nav_link_click,desktop,Google,Windows,0,0,0,0,0.0,28
2,501793856,2025-04-10 15:30:00,2025-04-24 15:30:00,1,6,21,6,24hrs,51715.68000000026,4176.0,12,3480.0,"Wilsonville, OR",Sideload,Hot Beverage,Liquor Store,session_start,desktop,Google,Windows,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,14
3,501754794,2024-12-04 10:00:00,2024-12-11 10:00:00,1,44,104,4,24hrs,60725.13000000011,4176.0,9,2958.0,"Huachuca City, AZ",Sideload,Restaurant,Dining,page_view,desktop,Apple,iOS,Glass Bottle  - Other,Grandma's Pantry,Vanilla Latte,CORE SPARKLING,0.0,7
4,501701968,2024-11-20 18:00:00,2024-12-18 18:00:00,1,3390,0,452,72hrs,20317.19999999999,1590.0,11,1500.0,"Draper, UT",Sideload,Hotel,Motel,add_to_cart,desktop,Microsoft,Windows,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,28
5,600579345,2024-10-17 15:30:00,2024-10-31 15:30:00,0,0,0,0,24hrs,567.0400000000001,112.0,8,,"Wilsonville, OR",OFS,Store,Retail Service,create_ticket,mobile,Samsung,Android,Aluminum Can,Fizz Factory,Persimmon,ENERGY DRINKS,16.0,14
6,600082401,2024-07-05 11:00:00,2024-07-12 11:00:00,0,0,0,0,24hrs,2882.580000000001,442.0,22,,,,,,,,,,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,7
7,600255282,2025-02-04 16:30:00,2025-03-04 16:30:00,1,790,0,158,48hrs,0.0,0.0,1,8.0,"Tempe, AZ",Rapid Delivery,Store,Retail Service,nav_link_click,desktop,Microsoft,Windows,0,0,0,0,0.0,28
8,500479326,2024-11-21 18:00:00,2024-11-28 18:00:00,1,0,0,0,72hrs,14186.739999999985,436.0,9,288.0,,,,,,,,,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0,7
9,501511491,2024-11-20 18:00:00,2024-12-04 18:00:00,0,0,0,0,72hrs,5019.139999999999,299.0,34,,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,14
10,500377143,2025-03-20 11:00:00,2025-04-17 11:00:00,1,1170,351,117,24hrs,21848.39999999996,1736.0,6,1050.0,"Boise, ID",Sideload,Hotel,Motel,nav_link_click,desktop,Google,Windows,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),20.0,28
11,501655228,2025-02-03 15:00:00,2025-03-03 15:00:00,1,342,855,171,24hrs,91837.01999999983,6666.0,26,5346.0,"Denver, CO",OFS,Distributor,Food Distributor,add_to_cart,desktop,Microsoft,Windows,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,28
12,500512149,2025-04-01 08:00:00,2025-04-15 08:00:00,1,648,108,216,24hrs,16248.579999999885,736.0,3,552.0,"Twin Falls, ID",Sideload,Restaurant,Restaurant,button_click,desktop,Apple,Macintosh,Bag-In-Box,Nina Naturals,Ginger Snap,TEA,320.0,14
13,501656536,2025-03-28 10:30:00,2025-04-04 10:30:00,0,0,0,0,24hrs,298.35999999999996,24.0,4,,,,,,,,,,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,7
14,501734516,2025-01-23 11:00:00,2025-02-06 11:00:00,1,0,0,0,24hrs,24873.749999999985,1180.0,22,1800.0,,,,,,,,,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,14
15,500317569,2025-01-31 11:00:00,2025-02-28 11:00:00,0,0,0,0,24hrs,1955.4100000000003,72.0,2,,,,,,,,,,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,28
16,500904678,2025-01-23 14:00:00,2025-02-06 14:00:00,1,0,0,0,24hrs,2240.439999999999,142.0,14,99.0,,,,,,,,,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,14
17,600566341,2025-01-27 14:00:00,2025-02-10 14:00:00,0,0,0,0,24hrs,2430.1600000000003,160.0,11,,,,,,,,,,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,20.0,14
18,501687315,2025-01-23 11:00:00,2025-01-30 11:00:00,1,334,0,167,24hrs,12138.659999999993,702.0,7,513.0,"Tucson, AZ",Rapid Delivery,Restaurant,Restaurant,button_click,desktop,Microsoft,Windows,Bag-In-Box,Fizz Factory,Caramel Macchiato,ENERGY DRINKS,320.0,7
19,501693770,2024-08-09 14:00:00,2024-08-16 14:00:00,1,800,352,32,24hrs,5754.750000000008,480.0,11,225.0,"Pocatello, ID",OFS,Institution,Government Office,button_click,desktop,Google,Windows,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,DAIRY/SOY BEVERAGES,14.0,7
20,501422489,2024-06-13 14:00:00,2024-06-27 14:00:00,0,0,0,0,24hrs,1867.2400000000002,151.0,20,,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,14
21,600572809,2024-06-25 11:00:00,2024-07-09 11:00:00,0,0,0,0,24hrs,270.06999999999994,205.0,2,,,,,,,,,,Plastic Bottle - Other,Sam's,Chocolate Fudge,JUICES/NECTARS,10.0,14
22,501679674,2024-07-17 11:00:00,2024-07-24 11:00:00,0,0,0,0,24hrs,5566.630000000003,424.0,35,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0,7
23,501501180,2025-03-04 16:00:00,2025-03-11 16:00:00,1,0,0,0,24hrs,140342.96000000136,17016.0,184,17083.0,,,,,,,,,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,16.0,7
24,600253379,2025-02-28 13:30:00,2025-03-07 13:30:00,1,0,1860,0,24hrs,385086.3999999934,44420.0,19,62592.0,"Albuquerque, NM",Rapid Delivery,Distributor,Food Distributor,update_cart,desktop,Google,Windows,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,7
